,open,high,low,close,volume,intra-diff,inter-diff,intra-derivative,inter-derivative,1-rad,1-err,3-rad,3-err,5-rad,5-err,20-rad,20-err,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
5787,10199.2001953125,10241.75,10156.8603515625,10208.0,63118000.0,0.08627936033204198,0.03488256251802146,13.9111328125,-50.59033203125,-1.4014648186109064,1.517312744847789,-1.4872185832402116,1.3786418365010003,1.1981093338090716,1.2346693010867216,-1.4505606510805826,0.87756146737975,10356.299964635427,10258.944140625,10161.588316614574,10219.796891119755,10107.750372957587,10017.71662109375,10098.804301757813,9999.9366096945,14.978370688907924,68.76438437880097,41.686963756674594,27.077420622126375,412.1103515625,55.941303344346096,34.134626711128114,59.15122714757095,-26.32517759775029
5788,10237.580078125,10282.7197265625,10040.8701171875,10103.259765625,83303400.0,-1.3120318617776379,-1.026060289723746,-20.138916015625,-43.4599609375,-1.5552891387389043,1.5469316875116546,1.42969032186187,1.436978762242479,-0.04347660961524128,1.2700810450691635,-1.4427585346542766,0.8801351507405213,10373.688088825038,10222.3341796875,10070.98027054996,10180.951182621504,10107.32269606877,10019.98181640625,10095.909848632813,10365.240234375,14.358025712219023,59.67357759405786,45.28428652415125,14.389291069906612,187.240234375,50.94541206880343,21.77890371637355,38.29839246061507,-44.28932983555026
5789,10105.08984375,10148.9599609375,10092.8603515625,10121.080078125,55122000.0,0.1582394082808671,0.1763818105581255,13.0087890625,92.2099609375,-0.6825518040139544,1.4955470634165984,1.4886669528696015,1.3742270518366875,-1.4936411270758785,1.3408882005785496,-1.4226862162521652,0.8879191994553933,10298.522332103379,10179.9041015625,10061.285871021622,10160.994147789335,10108.632922931269,10021.94482421875,10094.354296875,10358.75283203125,13.7819910910079,53.29267324596549,46.8859638685141,6.406709377451392,278.7900390625,51.73517651319882,22.83451781268036,26.249349413394224,-41.27670182610031
5790,10196.169921875,10312.5302734375,10183.1904296875,10287.6796875,78493400.0,0.8974915711111652,1.64606551957905,50.483642578125,47.97509765625,1.502029402976368,1.5413582115014894,-1.5029500897141779,1.363382876417583,-1.5420316561786442,1.282649810209133,-1.395740509351155,0.8952581208102434,10318.21029560063,10184.8919921875,10051.573688774371,10203.222661026224,10125.684995747339,10030.67142578125,10095.17009765625,10352.395177734375,13.624633915651954,60.97606262998488,49.70398362080825,11.272079009176629,230.3701171875,58.467291780231655,44.938110507436996,29.850510678830517,-13.112063884619385
5791,10246.490234375,10266.3701171875,10177.4404296875,10217.0302734375,75767900.0,-0.28751270204374474,-0.6867380809721579,0.0687255859375,-99.40478515625,-1.5144574753595665,1.5122761554696598,-1.5447975596790717,1.3702461778031394,-1.5480352778843876,1.1300453100583048,-1.3548779300305405,0.8812739716642245,10322.572794323269,10187.4099609375,10052.247127551733,10207.82519849665,10134.384546003545,10037.25322265625,10098.013100585937,10346.164676523438,13.428105466817781,60.66507754831946,51.89620240631049,8.768875142008966,11.8203125,54.96595513566952,60.142007437012154,42.638211919043385,-25.05915279004681
5792,10184.48046875,10187.0703125,10050.0302734375,10088.8701171875,108383500.0,-0.938784770179198,-1.2543777675122887,-18.723876953125,-191.205078125,-1.5472086241193181,1.527410241954996,-1.552069886559996,1.3377793017964956,-1.5424275958971065,1.302201948851779,-1.320170250158719,0.8652361097634156,10316.643462260097,10163.583984375,10010.524506489903,10168.173504726934,10130.049838497254,10038.09841796875,10097.816850585938,10340.05878533672,12.730875472565812,49.50648614475358,51.41825915399911,-1.911773009245529,-183.83984375,49.20897943013007,57.789081410118634,54.289733118189474,-46.72830995566636
5793,10024.6904296875,10026.490234375,9819.1201171875,9834.6201171875,109159600.0,-1.8960217657905776,-2.520103807926491,-45.3551025390625,-215.71484375,-1.5579366400842076,1.5381565105418828,-1.5489497936936398,1.3539262505204621,-1.5276084281842401,1.2922507022265033,-1.271252611053387,0.8490125915218593,10418.956384182904,10109.8560546875,9800.755725192095,10056.989042213789,10101.913674562991,10035.480625,10097.002802734374,10334.075011973735,13.485738742206697,19.91777224002726,45.11816177120474,-25.20038953117748,-451.689453125,40.21111661354212,28.55210703471245,48.82773196061462,-89.7165784672286
5794,9715.7802734375,9755.23046875,9657.4404296875,9657.4404296875,102325200.0,-0.6004648325518278,-1.8015915753609175,-9.6536865234375,-157.7099609375,-1.534157125253217,1.5145214972793177,-1.4897060697828877,1.3791042279879706,-1.361802276763742,1.2497624735820518,-1.230485198772977,0.8465088381356077,10491.250760139135,10017.128125,9543.005489860863,9923.806171371692,10059.582889336754,10032.736640625,10093.711904296875,10313.476816182285,14.916442308294624,-17.62524389319151,32.56948063832549,-50.194724531517,-675.7900390625,35.35898617991804,6.936845932788036,31.09267812587325,-100.0
5795,9595.169921875,9620.83984375,9507.509765625,9519.2001953125,102835400.0,-0.7917496738573098,-1.431437608975997,-14.3223876953125,-25.365234375,-1.5414997595197137,1.5176534019916812,-1.4213552866233414,1.384618459313961,1.5137659193553397,1.3542097734671534,-1.151239165619423,0.8570566819011892,10383.133887632142,9863.4322265625,9343.730565492857,9788.937512685296,10008.117870858254,10026.67904296875,10089.81525390625,10274.114632992598,16.802496767177512,-57.86614139621997,14.482356231416393,-72.34849762763636,-743.5400390625,32.103989486049585,1.560642404228154,12.349865123909757,-98.63705090195329
5796,9589.4697265625,9665.2099609375,9567.150390625,9606.7099609375,95301400.0,0.17978297931579207,0.9192974601804473,18.7225341796875,15.634765625,-1.3582541446016239,1.5268716240314895,1.21764403463853,1.4168874429953802,1.5351564362736374,1.3400176921515805,-1.0456019582157874,0.8728848989960779,10145.337308222755,9741.3681640625,9337.399019902245,9728.19499543603,9969.888546103897,10027.54603515625,10086.55150390625,10212.78624360319,18.18975208630074,-81.7536308841045,-4.764841191687786,-76.9887896924167,-597.73046875,36.11328482325625,5.379407450856685,4.625631929291168,-88.43457252287332
